0.22,0.2225,0.23,0.2425,0.26,0.2825,0.31,0.3425,0.38,0.4225,0.47,0.5225,0.58,0.6425,0.71,0.7825,0.86,0.9425,1.03,1.1225,1.22,
0.2625,0.265,0.2725,0.285,0.3025,0.325,0.3525,0.385,0.4225,0.465,0.5125,0.565,0.6225,0.685,0.7525,0.825,0.9025,0.985,1.0725,1.165,1.2625,
0.31,0.3125,0.32,0.3325,0.35,0.3725,0.4,0.4325,0.47,0.5125,0.56,0.6125,0.67,0.7325,0.8,0.8725,0.95,1.0325,1.12,1.2125,1.31,
0.3625,0.365,0.3725,0.385,0.4025,0.425,0.4525,0.485,0.5225,0.565,0.6125,0.665,0.7225,0.785,0.8525,0.925,1.0025,1.085,1.1725,1.265,1.3625,
0.42,0.4225,0.43,0.4425,0.46,0.4825,0.51,0.5425,0.58,0.6225,0.67,0.7225,0.78,0.8425,0.91,0.9825,1.06,1.1425,1.23,1.3225,1.42,
0.4825,0.485,0.4925,0.505,0.5225,0.545,0.5725,0.605,0.6425,0.685,0.7325,0.785,0.8425,0.905,0.9725,1.045,1.1225,1.205,1.2925,1.385,1.4825,
0.55,0.5525,0.56,0.5725,0.59,0.6125,0.64,0.6725,0.71,0.7525,0.8,0.8525,0.91,0.9725,1.04,1.1125,1.19,1.2725,1.36,1.4525,1.55,
0.6225,0.625,0.6325,0.645,0.6625,0.685,0.7125,0.745,0.7825,0.825,0.8725,0.925,0.9825,1.045,1.1125,1.185,1.2625,1.345,1.4325,1.525,1.6225,
0.7,0.7025,0.71,0.7225,0.74,0.7625,0.79,0.8225,0.86,0.9025,0.95,1.0025,1.06,1.1225,1.19,1.2625,1.34,1.4225,1.51,1.6025,1.7,
0.7825,0.785,0.7925,0.805,0.8225,0.845,0.8725,0.905,0.9425,0.985,1.0325,1.085,1.1425,1.205,1.2725,1.345,1.4225,1.505,1.5925,1.685,1.7825,
0.87,0.8725,0.88,0.8925,0.91,0.9325,0.96,0.9925,1.03,1.0725,1.12,1.1725,1.23,1.2925,1.36,1.4325,1.51,1.5925,1.68,1.7725,1.87,
